Date,Day of Wk,SPX Close,Seasonal_rank,NPD 5 SMA,5dt,21dt,200d,Model,NPD,252d FWD%,126d FWD%,63d FWD%,21d FWD%,10d FWD%,5d FWD%,1d FWD%,Day of,VIX,5d FWD VIX,21d FWD VIX
6/23/2016,Thursday,2113.32,3,-13,8,6,2020.32705,1,-12.17,15.38,7.19,3.02,2.61,0.78,-0.68,-3.59,1.34,17.25,20.126,14.83545455
6/24/2016,Friday,2037.41,7,-13,2,2,2020.8039,1,-12.97,19.71,10.97,6.25,6.47,4.90,3.22,-1.81,-3.59,25.76,17.928,14.24772727
6/27/2016,Monday,2000.54,7,-13,0,1,2021.04515,2,-15.36,20.94,13.16,7.28,8.30,7.58,4.40,1.78,-1.81,23.85,16.274,13.74181818
6/28/2016,Tuesday,2036.09,8,-14,1,2,2021.42035,2,-16.86,19.87,11.43,6.08,6.58,5.71,3.13,1.70,1.78,18.75,15.516,13.42909091
6/29/2016,Wednesday,2070.77,7,-14,3,3,2022.00905,1,-13,16.85,8.65,4.86,4.97,4.49,1.31,1.36,1.70,16.64,15.14,13.23818182
6/30/2016,Thursday,2098.86,6,-14,3,4,2022.6129,1,-11.56,15.46,7.17,2.49,3.43,3.00,1.48,0.19,1.36,15.63,14.654,13.13545455
7/1/2016,Friday,2102.95,3,-13,9,4,2023.1511,0,-8.86,15.50,6.46,3.11,2.57,3.04,1.63,-0.68,0.19,14.77,14.408,13.04863636
7/5/2016,Tuesday,2088.55,4,-12,10,3,2023.64285,0,-10.84,16.47,8.11,3.48,3.60,3.60,3.04,0.54,-0.68,15.58,14.002,12.905
7/6/2016,Wednesday,2099.73,3,-11,9,3,2024.35135,0,-9.91,14.76,8.14,2.42,3.07,3.49,2.51,-0.09,0.54,14.96,13.618,12.74272727
7/7/2016,Thursday,2097.9,5,-10,7,3,2025.006,1,-11.2,15.60,8.16,2.95,4.05,3.21,3.14,1.53,-0.09,14.76,13.23,12.59454545
7/8/2016,Friday,2129.9,3,-10,7,4,2025.9418,1,-8.76,13.97,6.91,1.45,2.39,2.12,1.49,0.34,1.53,13.2,13.124,12.52454545
7/11/2016,Monday,2137.16,5,-10,8,5,2026.9338,1,-10.79,13.49,6.16,0.78,2.09,1.47,1.39,0.70,0.34,13.54,12.904,12.45681818
7/12/2016,Tuesday,2152.14,3,-11,9,7,2028.0333,0,-14.82,13.53,5.43,0.54,1.08,0.79,0.54,0.01,0.70,13.55,12.588,12.37181818
7/13/2016,Wednesday,2152.43,2,-12,9,8,2029.13875,0,-14.43,13.72,5.71,-0.73,1.55,0.66,0.96,0.53,0.01,13.04,12.334,12.30409091
7/14/2016,Thursday,2163.75,2,-12,9,8,2030.54865,0,-13.28,13.66,4.93,-1.14,0.94,0.29,0.07,-0.09,0.53,12.82,12.318,12.25818182
7/15/2016,Friday,2161.74,1,-13,7,8,2031.9369,0,-12.85,13.76,5.22,-1.35,1.31,0.55,0.61,0.24,-0.09,12.67,12.188,12.25681818
7/18/2016,Monday,2166.89,1,-13,7,8,2033.1712,0,-11.08,13.55,4.66,-1.56,0.52,0.18,0.07,-0.14,0.24,12.44,12.274,12.24545455
